year,month,clt,scenario
2015,1,19.56928,future
2015,2,51.559376,future
2015,3,46.588493,future
2015,4,43.841084,future
2015,5,46.46577,future
2015,6,38.4931,future
2015,7,29.333038,future
2015,8,12.781402,future
2015,9,9.75098,future
2015,10,15.562207,future
2015,11,28.876019,future
2015,12,41.833687,future
2016,1,39.774467,future
2016,2,43.634422,future
2016,3,45.111355,future
2016,4,48.79119,future
2016,5,39.731285,future
2016,6,37.224457,future
2016,7,47.08596,future
2016,8,35.391293,future
2016,9,36.642426,future
2016,10,27.234903,future
2016,11,62.48623,future
2016,12,45.081623,future
2017,1,45.74056,future
2017,2,56.378674,future
2017,3,51.553265,future
2017,4,49.605846,future
2017,5,43.940056,future
2017,6,51.798317,future
2017,7,35.748283,future
2017,8,42.452034,future
2017,9,48.44257,future
2017,10,32.021057,future
2017,11,32.658592,future
2017,12,41.412994,future
2018,1,47.0013,future
2018,2,38.1523,future
2018,3,50.289894,future
2018,4,30.94931,future
2018,5,32.258476,future
2018,6,41.897243,future
2018,7,28.752188,future
2018,8,9.880498,future
2018,9,24.21078,future
2018,10,27.469885,future
2018,11,36.53215,future
2018,12,51.039276,future
2019,1,38.816185,future
2019,2,37.628582,future
2019,3,45.349648,future
2019,4,51.520996,future
2019,5,57.545887,future
2019,6,42.242516,future
2019,7,34.87948,future
2019,8,21.906483,future
2019,9,29.744638,future
2019,10,21.419643,future
2019,11,40.0158,future
2019,12,42.985085,future
2020,1,45.99246,future
2020,2,74.57353,future
2020,3,45.852135,future
2020,4,50.415653,future
2020,5,49.450417,future
2020,6,41.74929,future
2020,7,25.63621,future
2020,8,37.74997,future
2020,9,25.818695,future
2020,10,25.181595,future
2020,11,29.96532,future
2020,12,33.477173,future
2021,1,35.15385,future
2021,2,47.583458,future
2021,3,42.098408,future
2021,4,53.178192,future
2021,5,53.084816,future
2021,6,44.97901,future
2021,7,30.104458,future
2021,8,40.61405,future
2021,9,27.749744,future
2021,10,24.644709,future
2021,11,41.40094,future
2021,12,52.48462,future
2022,1,58.61036,future
2022,2,38.103645,future
2022,3,47.425865,future
2022,4,67.33397,future
2022,5,38.38468,future
2022,6,44.57007,future
2022,7,35.12728,future
2022,8,40.196465,future
2022,9,27.14364,future
2022,10,17.238886,future
2022,11,31.089514,future
2022,12,53.657673,future
2023,1,47.23027,future
2023,2,55.57731,future
2023,3,44.63523,future
2023,4,43.855244,future
2023,5,41.111736,future
2023,6,34.05477,future
2023,7,33.966377,future
2023,8,18.891376,future
2023,9,19.171415,future
2023,10,15.867221,future
2023,11,39.26895,future
2023,12,45.861813,future
2024,1,41.489834,future
2024,2,49.70187,future
2024,3,52.003395,future
2024,4,50.489834,future
2024,5,48.22946,future
2024,6,35.34185,future
2024,7,42.548428,future
2024,8,37.41392,future
2024,9,35.84688,future
2024,10,15.657751,future
2024,11,37.287823,future
2024,12,30.4534,future
2025,1,45.198994,future
2025,2,55.968895,future
2025,3,52.585045,future
2025,4,53.059742,future
2025,5,57.14738,future
2025,6,46.01039,future
2025,7,29.40398,future
2025,8,23.649693,future
2025,9,17.439209,future
2025,10,42.417854,future
2025,11,36.543064,future
2025,12,42.100605,future
2026,1,34.033455,future
2026,2,48.919044,future
2026,3,54.415955,future
2026,4,35.725258,future
2026,5,42.440063,future
2026,6,38.9676,future
2026,7,30.750132,future
2026,8,30.21223,future
2026,9,26.67389,future
2026,10,19.318796,future
2026,11,47.106316,future
2026,12,26.514141,future
2027,1,39.114006,future
2027,2,52.632378,future
2027,3,51.23921,future
2027,4,46.1847,future
2027,5,46.216637,future
2027,6,43.36291,future
2027,7,38.802235,future
2027,8,41.80927,future
2027,9,25.969318,future
2027,10,18.349552,future
2027,11,16.764553,future
2027,12,26.818104,future
2028,1,28.547222,future
2028,2,61.26095,future
2028,3,58.97741,future
2028,4,48.988316,future
2028,5,29.868155,future
2028,6,42.281982,future
2028,7,37.66929,future
2028,8,30.1041,future
2028,9,29.54538,future
2028,10,28.313562,future
2028,11,48.25518,future
2028,12,42.385002,future
2029,1,39.669823,future
2029,2,59.309105,future
2029,3,52.867382,future
2029,4,36.89681,future
2029,5,48.20646,future
2029,6,42.268394,future
2029,7,18.159494,future
2029,8,30.33578,future
2029,9,28.89062,future
2029,10,26.381678,future
2029,11,41.450954,future
2029,12,48.07125,future
2030,1,64.78639,future
2030,2,41.57102,future
2030,3,30.321356,future
2030,4,29.401134,future
2030,5,30.08176,future
2030,6,49.92196,future
2030,7,23.623981,future
2030,8,21.046581,future
2030,9,18.811834,future
2030,10,19.189291,future
2030,11,42.95591,future
2030,12,45.38588,future
2031,1,62.574974,future
2031,2,66.23138,future
2031,3,46.930855,future
2031,4,43.98672,future
2031,5,42.529705,future
2031,6,34.1982,future
2031,7,33.231213,future
2031,8,24.959066,future
2031,9,27.510845,future
2031,10,20.290638,future
2031,11,50.00987,future
2031,12,31.265705,future
2032,1,52.12261,future
2032,2,66.76778,future
2032,3,48.448467,future
2032,4,37.124382,future
2032,5,35.776344,future
2032,6,36.834827,future
2032,7,32.26776,future
2032,8,25.796986,future
2032,9,43.99933,future
2032,10,26.426434,future
2032,11,22.743328,future
2032,12,43.57953,future
2033,1,36.47187,future
2033,2,58.89734,future
2033,3,68.2607,future
2033,4,50.170357,future
2033,5,54.466087,future
2033,6,50.40719,future
2033,7,36.68391,future
2033,8,34.73531,future
2033,9,50.917034,future
2033,10,30.823639,future
2033,11,32.803276,future
2033,12,24.118713,future
2034,1,42.747173,future
2034,2,64.93219,future
2034,3,48.556953,future
2034,4,36.786034,future
2034,5,47.19133,future
2034,6,31.81106,future
2034,7,17.510977,future
2034,8,18.25642,future
2034,9,35.90119,future
2034,10,28.20813,future
2034,11,23.49828,future
2034,12,47.656696,future
2035,1,68.06634,future
2035,2,60.452526,future
2035,3,49.21936,future
2035,4,27.41741,future
2035,5,50.381844,future
2035,6,43.093082,future
2035,7,36.07641,future
2035,8,27.47694,future
2035,9,18.930542,future
2035,10,30.119965,future
2035,11,43.400974,future
2035,12,61.101196,future
2036,1,41.654705,future
2036,2,54.624367,future
2036,3,53.93438,future
2036,4,42.22439,future
2036,5,39.825886,future
2036,6,50.502155,future
2036,7,37.470528,future
2036,8,39.077778,future
2036,9,28.75622,future
2036,10,44.13531,future
2036,11,45.656372,future
2036,12,48.143677,future
2037,1,48.588886,future
2037,2,68.40373,future
2037,3,41.006588,future
2037,4,50.862392,future
2037,5,53.55653,future
2037,6,50.94799,future
2037,7,30.33609,future
2037,8,30.725983,future
2037,9,36.290123,future
2037,10,28.315546,future
2037,11,36.19347,future
2037,12,38.39234,future
2038,1,45.51579,future
2038,2,41.977303,future
2038,3,54.432068,future
2038,4,41.01367,future
2038,5,36.85325,future
2038,6,34.304028,future
2038,7,35.128677,future
2038,8,18.596863,future
2038,9,15.541964,future
2038,10,15.501398,future
2038,11,20.095064,future
2038,12,63.806618,future
2039,1,25.855362,future
2039,2,37.181538,future
2039,3,37.84926,future
2039,4,48.987495,future
2039,5,36.77517,future
2039,6,47.978703,future
2039,7,29.344929,future
2039,8,20.649479,future
2039,9,20.861729,future
2039,10,15.374522,future
2039,11,37.218792,future
2039,12,33.009605,future
2040,1,55.053173,future
2040,2,69.41145,future
2040,3,51.37146,future
2040,4,37.40617,future
2040,5,40.474876,future
2040,6,50.973595,future
2040,7,35.911354,future
2040,8,35.434883,future
2040,9,34.622337,future
2040,10,30.568989,future
2040,11,23.124088,future
2040,12,49.238415,future
2041,1,42.467674,future
2041,2,66.93881,future
2041,3,42.491974,future
2041,4,47.717495,future
2041,5,51.74105,future
2041,6,57.95867,future
2041,7,28.296133,future
2041,8,52.22931,future
2041,9,42.329834,future
2041,10,36.212883,future
2041,11,43.502674,future
2041,12,57.161186,future
2042,1,42.05736,future
2042,2,50.99713,future
2042,3,60.987537,future
2042,4,57.469322,future
2042,5,43.31289,future
2042,6,45.344654,future
2042,7,31.979223,future
2042,8,27.100906,future
2042,9,24.224327,future
2042,10,21.310104,future
2042,11,32.492226,future
2042,12,45.20722,future
2043,1,44.206192,future
2043,2,62.02301,future
2043,3,44.61382,future
2043,4,52.735462,future
2043,5,54.061096,future
2043,6,42.315266,future
2043,7,31.211908,future
2043,8,25.919033,future
2043,9,17.138609,future
2043,10,39.810722,future
2043,11,29.815496,future
2043,12,42.156124,future
2044,1,44.69364,future
2044,2,37.80016,future
2044,3,53.71046,future
2044,4,39.78179,future
2044,5,45.600365,future
2044,6,44.78489,future
2044,7,47.48435,future
2044,8,33.013634,future
2044,9,31.966282,future
2044,10,27.393875,future
2044,11,27.397654,future
2044,12,27.927582,future
2045,1,54.27059,future
2045,2,64.15432,future
2045,3,64.46626,future
2045,4,52.037926,future
2045,5,52.23342,future
2045,6,52.123924,future
2045,7,36.547325,future
2045,8,29.849646,future
2045,9,20.581593,future
2045,10,34.901012,future
2045,11,53.80061,future
2045,12,46.190544,future
2046,1,53.425667,future
2046,2,38.370705,future
2046,3,49.300385,future
2046,4,62.600166,future
2046,5,56.670704,future
2046,6,39.98095,future
2046,7,43.91458,future
2046,8,26.872013,future
2046,9,24.4212,future
2046,10,33.864635,future
2046,11,46.26672,future
2046,12,57.325306,future
2047,1,62.58019,future
2047,2,58.727974,future
2047,3,48.6363,future
2047,4,55.271202,future
2047,5,48.5478,future
2047,6,40.40397,future
2047,7,49.79402,future
2047,8,39.00371,future
2047,9,22.239584,future
2047,10,34.596825,future
2047,11,40.942783,future
2047,12,43.818127,future
2048,1,50.052467,future
2048,2,57.43107,future
2048,3,53.630096,future
2048,4,41.515686,future
2048,5,58.907978,future
2048,6,46.909813,future
2048,7,32.917877,future
2048,8,25.695065,future
2048,9,27.52388,future
2048,10,13.168261,future
2048,11,40.806988,future
2048,12,36.135548,future
2049,1,36.109684,future
2049,2,33.486366,future
2049,3,35.37956,future
2049,4,42.850014,future
2049,5,39.25185,future
2049,6,46.068962,future
2049,7,31.652386,future
2049,8,20.74812,future
2049,9,26.07334,future
2049,10,19.988394,future
2049,11,28.690262,future
2049,12,36.71766,future
2050,1,45.948444,future
2050,2,32.552032,future
2050,3,48.44696,future
2050,4,43.36927,future
2050,5,43.42817,future
2050,6,48.29496,future
2050,7,28.61142,future
2050,8,30.54903,future
2050,9,26.38029,future
2050,10,31.43487,future
2050,11,37.177227,future
2050,12,49.136433,future
2051,1,44.62163,future
2051,2,60.921955,future
2051,3,44.223824,future
2051,4,41.085785,future
2051,5,50.494522,future
2051,6,45.157196,future
2051,7,29.64005,future
2051,8,27.472157,future
2051,9,33.917908,future
2051,10,31.680262,future
2051,11,21.145947,future
2051,12,42.437904,future
2052,1,58.015625,future
2052,2,41.589996,future
2052,3,46.936607,future
2052,4,30.132504,future
2052,5,30.890162,future
2052,6,40.393097,future
2052,7,34.024277,future
2052,8,42.74928,future
2052,9,21.52268,future
2052,10,21.284231,future
2052,11,28.874187,future
2052,12,57.398216,future
2053,1,52.497845,future
2053,2,40.65719,future
2053,3,47.19854,future
2053,4,47.988422,future
2053,5,50.678814,future
2053,6,43.56418,future
2053,7,33.102985,future
2053,8,39.71315,future
2053,9,38.52695,future
2053,10,30.65234,future
2053,11,37.064423,future
2053,12,60.28581,future
2054,1,54.914806,future
2054,2,67.90517,future
2054,3,33.58745,future
2054,4,51.02594,future
2054,5,47.520874,future
2054,6,43.851944,future
2054,7,21.8814,future
2054,8,32.777336,future
2054,9,12.052908,future
2054,10,13.895227,future
2054,11,38.18409,future
2054,12,59.50904,future
2055,1,56.435936,future
2055,2,70.522156,future
2055,3,54.53414,future
2055,4,45.396038,future
2055,5,39.079304,future
2055,6,18.472788,future
2055,7,30.614643,future
2055,8,29.156073,future
2055,9,22.21395,future
2055,10,15.148817,future
2055,11,36.587982,future
2055,12,40.038826,future
2056,1,40.68397,future
2056,2,48.751934,future
2056,3,42.51001,future
2056,4,52.32251,future
2056,5,50.888687,future
2056,6,47.329155,future
2056,7,37.30191,future
2056,8,36.353302,future
2056,9,42.002296,future
2056,10,20.418966,future
2056,11,35.30017,future
2056,12,35.269405,future
2057,1,46.478313,future
2057,2,52.85088,future
2057,3,50.92965,future
2057,4,37.91615,future
2057,5,43.41981,future
2057,6,46.74265,future
2057,7,33.47169,future
2057,8,37.44216,future
2057,9,37.21851,future
2057,10,32.933865,future
2057,11,19.004597,future
2057,12,40.039375,future
2058,1,59.013634,future
2058,2,39.59544,future
2058,3,35.134907,future
2058,4,37.97544,future
2058,5,41.64635,future
2058,6,38.892372,future
2058,7,32.47187,future
2058,8,36.55169,future
2058,9,23.052801,future
2058,10,25.386728,future
2058,11,39.146233,future
2058,12,34.43827,future
2059,1,19.45572,future
2059,2,62.275246,future
2059,3,56.531933,future
2059,4,50.053394,future
2059,5,49.516838,future
2059,6,47.737885,future
2059,7,34.898003,future
2059,8,48.515297,future
2059,9,25.455559,future
2059,10,26.270985,future
2059,11,49.77936,future
2059,12,31.271683,future
2060,1,55.623634,future
2060,2,59.15497,future
2060,3,48.04711,future
2060,4,52.002907,future
2060,5,52.508595,future
2060,6,23.782217,future
2060,7,41.849274,future
2060,8,41.38396,future
2060,9,46.57133,future
2060,10,29.617285,future
2060,11,33.5396,future
2060,12,36.372753,future
2061,1,40.63743,future
2061,2,48.109688,future
2061,3,50.62806,future
2061,4,47.29319,future
2061,5,43.116016,future
2061,6,38.944508,future
2061,7,40.221268,future
2061,8,48.99788,future
2061,9,35.30926,future
2061,10,29.548695,future
2061,11,32.44596,future
2061,12,25.776966,future
2062,1,53.002735,future
2062,2,35.52427,future
2062,3,49.116127,future
2062,4,46.38305,future
2062,5,44.454384,future
2062,6,36.70241,future
2062,7,20.978691,future
2062,8,22.596237,future
2062,9,34.93102,future
2062,10,20.451466,future
2062,11,31.73927,future
2062,12,21.235332,future
2063,1,40.447533,future
2063,2,34.024887,future
2063,3,47.61204,future
2063,4,41.672325,future
2063,5,39.322075,future
2063,6,36.241863,future
2063,7,39.006554,future
2063,8,43.996483,future
2063,9,52.027832,future
2063,10,23.57808,future
2063,11,33.964245,future
2063,12,33.64096,future
2064,1,40.909985,future
2064,2,44.505066,future
2064,3,51.343067,future
2064,4,43.445812,future
2064,5,54.06056,future
2064,6,62.774757,future
2064,7,41.490154,future
2064,8,49.82425,future
2064,9,48.75672,future
2064,10,32.44738,future
2064,11,37.541588,future
2064,12,32.966545,future
2065,1,36.339504,future
2065,2,54.511772,future
2065,3,34.275017,future
2065,4,45.44909,future
2065,5,44.987236,future
2065,6,53.37368,future
2065,7,39.137646,future
2065,8,36.711597,future
2065,9,26.250011,future
2065,10,30.56657,future
2065,11,17.832653,future
2065,12,47.870308,future
2066,1,58.350567,future
2066,2,51.189156,future
2066,3,50.550484,future
2066,4,51.409924,future
2066,5,45.610054,future
2066,6,49.0667,future
2066,7,50.84095,future
2066,8,19.663553,future
2066,9,21.750261,future
2066,10,23.037113,future
2066,11,19.740295,future
2066,12,40.474262,future
2067,1,36.40565,future
2067,2,45.41796,future
2067,3,57.57716,future
2067,4,43.296314,future
2067,5,47.36852,future
2067,6,53.284035,future
2067,7,45.75067,future
2067,8,27.540314,future
2067,9,36.042435,future
2067,10,15.896574,future
2067,11,45.607704,future
2067,12,50.20941,future
2068,1,48.006355,future
2068,2,61.620483,future
2068,3,53.502068,future
2068,4,38.498413,future
2068,5,54.448265,future
2068,6,52.683594,future
2068,7,39.708973,future
2068,8,51.842834,future
2068,9,48.95404,future
2068,10,19.858786,future
2068,11,51.153637,future
2068,12,41.945557,future
2069,1,41.651314,future
2069,2,48.867706,future
2069,3,49.815063,future
2069,4,35.19558,future
2069,5,40.976532,future
2069,6,44.978386,future
2069,7,30.071339,future
2069,8,38.30305,future
2069,9,15.025003,future
2069,10,28.60728,future
2069,11,23.245634,future
2069,12,24.123108,future
2070,1,31.743587,future
2070,2,41.56548,future
2070,3,31.057507,future
2070,4,31.11077,future
2070,5,46.206535,future
2070,6,43.80127,future
2070,7,24.768858,future
2070,8,40.29497,future
2070,9,25.670288,future
2070,10,32.005013,future
2070,11,42.76224,future
2070,12,29.889057,future
2071,1,46.604187,future
2071,2,60.376762,future
2071,3,52.02465,future
2071,4,41.992622,future
2071,5,43.36016,future
2071,6,37.6001,future
2071,7,36.078075,future
2071,8,34.204174,future
2071,9,30.424786,future
2071,10,26.509924,future
2071,11,20.281067,future
2071,12,50.81488,future
2072,1,74.447876,future
2072,2,31.960989,future
2072,3,47.312256,future
2072,4,39.863342,future
2072,5,54.881725,future
2072,6,56.777657,future
2072,7,43.05022,future
2072,8,33.761936,future
2072,9,42.24515,future
2072,10,15.576465,future
2072,11,44.247986,future
2072,12,55.009735,future
2073,1,56.443443,future
2073,2,60.758995,future
2073,3,37.006035,future
2073,4,46.942463,future
2073,5,46.818707,future
2073,6,54.346703,future
2073,7,51.989574,future
2073,8,37.47329,future
2073,9,29.5448,future
2073,10,32.082832,future
2073,11,53.514984,future
2073,12,66.0743,future
2074,1,53.800526,future
2074,2,54.977467,future
2074,3,54.798206,future
2074,4,28.016144,future
2074,5,43.522984,future
2074,6,37.4963,future
2074,7,33.37815,future
2074,8,37.96903,future
2074,9,33.743317,future
2074,10,29.24408,future
2074,11,45.879223,future
2074,12,39.102325,future
2075,1,36.469006,future
2075,2,47.39408,future
2075,3,39.22706,future
2075,4,39.649864,future
2075,5,29.890911,future
2075,6,36.791866,future
2075,7,28.814117,future
2075,8,42.536274,future
2075,9,23.315136,future
2075,10,22.994394,future
2075,11,46.647835,future
2075,12,42.45173,future
2076,1,47.58053,future
2076,2,64.74864,future
2076,3,41.70293,future
2076,4,40.548767,future
2076,5,40.00042,future
2076,6,32.890785,future
2076,7,35.537117,future
2076,8,34.362003,future
2076,9,42.01103,future
2076,10,31.332844,future
2076,11,38.621162,future
2076,12,51.537834,future
2077,1,48.945244,future
2077,2,49.91139,future
2077,3,46.65885,future
2077,4,42.80472,future
2077,5,41.993694,future
2077,6,45.25825,future
2077,7,40.89862,future
2077,8,37.03036,future
2077,9,45.991093,future
2077,10,34.776436,future
2077,11,27.648523,future
2077,12,37.38054,future
2078,1,56.213062,future
2078,2,47.68841,future
2078,3,43.017925,future
2078,4,49.740116,future
2078,5,49.605682,future
2078,6,50.850838,future
2078,7,38.442944,future
2078,8,45.928596,future
2078,9,21.953436,future
2078,10,32.199062,future
2078,11,25.379608,future
2078,12,42.025543,future
2079,1,37.84923,future
2079,2,37.35893,future
2079,3,46.851063,future
2079,4,35.41399,future
2079,5,49.0654,future
2079,6,45.361416,future
2079,7,35.181114,future
2079,8,31.569635,future
2079,9,37.367493,future
2079,10,31.18696,future
2079,11,21.812052,future
2079,12,59.286266,future
2080,1,41.187263,future
2080,2,49.164806,future
2080,3,51.62948,future
2080,4,42.960728,future
2080,5,30.227905,future
2080,6,51.678917,future
2080,7,51.368103,future
2080,8,30.736908,future
2080,9,28.651917,future
2080,10,23.580364,future
2080,11,41.22005,future
2080,12,43.245525,future
2081,1,60.099724,future
2081,2,57.894196,future
2081,3,47.689865,future
2081,4,42.19415,future
2081,5,53.915306,future
2081,6,48.154007,future
2081,7,41.172737,future
2081,8,40.93554,future
2081,9,33.477245,future
2081,10,28.866405,future
2081,11,24.596796,future
2081,12,42.305717,future
2082,1,54.25295,future
2082,2,64.26481,future
2082,3,58.721497,future
2082,4,40.622246,future
2082,5,39.35532,future
2082,6,44.21745,future
2082,7,38.82152,future
2082,8,37.104538,future
2082,9,43.41561,future
2082,10,29.251698,future
2082,11,42.966293,future
2082,12,36.746223,future
2083,1,72.10431,future
2083,2,29.789886,future
2083,3,40.322357,future
2083,4,48.02749,future
2083,5,40.927658,future
2083,6,39.31297,future
2083,7,37.28338,future
2083,8,20.05103,future
2083,9,23.909744,future
2083,10,22.269339,future
2083,11,45.718987,future
2083,12,37.405735,future
2084,1,42.67782,future
2084,2,66.01433,future
2084,3,52.642384,future
2084,4,30.706543,future
2084,5,45.841522,future
2084,6,41.652,future
2084,7,46.022247,future
2084,8,33.313972,future
2084,9,38.853313,future
2084,10,25.632446,future
2084,11,44.94748,future
2084,12,42.073147,future
2085,1,62.7711,future
2085,2,68.08534,future
2085,3,61.924732,future
2085,4,40.491932,future
2085,5,31.493229,future
2085,6,49.68026,future
2085,7,44.9438,future
2085,8,46.81448,future
2085,9,37.24994,future
2085,10,28.521967,future
2085,11,39.330566,future
2085,12,36.81466,future
2086,1,54.402588,future
2086,2,62.582123,future
2086,3,53.741096,future
2086,4,49.626537,future
2086,5,46.748745,future
2086,6,44.889626,future
2086,7,39.123665,future
2086,8,23.77495,future
2086,9,42.256664,future
2086,10,27.252594,future
2086,11,39.611305,future
2086,12,51.96232,future
2087,1,49.16793,future
2087,2,62.858948,future
2087,3,39.758984,future
2087,4,25.197302,future
2087,5,35.964924,future
2087,6,48.429787,future
2087,7,50.831707,future
2087,8,46.883392,future
2087,9,23.483307,future
2087,10,28.822464,future
2087,11,50.121056,future
2087,12,31.43628,future
2088,1,55.521984,future
2088,2,58.120655,future
2088,3,34.95644,future
2088,4,53.443855,future
2088,5,46.880127,future
2088,6,38.315777,future
2088,7,44.188347,future
2088,8,45.958874,future
2088,9,34.25801,future
2088,10,21.606052,future
2088,11,30.645147,future
2088,12,33.78598,future
2089,1,36.0308,future
2089,2,46.57215,future
2089,3,48.208557,future
2089,4,46.957275,future
2089,5,48.150234,future
2089,6,48.97921,future
2089,7,38.87851,future
2089,8,44.170525,future
2089,9,43.30593,future
2089,10,34.895054,future
2089,11,16.788702,future
2089,12,48.186066,future
2090,1,58.967102,future
2090,2,62.912575,future
2090,3,52.383568,future
2090,4,48.140575,future
2090,5,35.46626,future
2090,6,37.63337,future
2090,7,46.048714,future
2090,8,47.9387,future
2090,9,39.634727,future
2090,10,29.704107,future
2090,11,26.507202,future
2090,12,49.3948,future
2091,1,40.22632,future
2091,2,56.42268,future
2091,3,50.09333,future
2091,4,44.219994,future
2091,5,32.037235,future
2091,6,28.952648,future
2091,7,29.179605,future
2091,8,31.428381,future
2091,9,22.785463,future
2091,10,31.732098,future
2091,11,19.546219,future
2091,12,45.949955,future
2092,1,30.114239,future
2092,2,60.547863,future
2092,3,51.22457,future
2092,4,53.068604,future
2092,5,41.18395,future
2092,6,38.73449,future
2092,7,39.663307,future
2092,8,39.287422,future
2092,9,35.064064,future
2092,10,33.365593,future
2092,11,22.99857,future
2092,12,48.21579,future
2093,1,36.35375,future
2093,2,60.2665,future
2093,3,35.895485,future
2093,4,37.65309,future
2093,5,42.73934,future
2093,6,33.689995,future
2093,7,34.174763,future
2093,8,44.091656,future
2093,9,49.05765,future
2093,10,14.949435,future
2093,11,25.819956,future
2093,12,49.591095,future
2094,1,53.707253,future
2094,2,43.273903,future
2094,3,31.908459,future
2094,4,40.22395,future
2094,5,40.217857,future
2094,6,34.22502,future
2094,7,38.991383,future
2094,8,35.403725,future
2094,9,42.88044,future
2094,10,29.705627,future
2094,11,44.39289,future
2094,12,46.364212,future
2095,1,55.99187,future
2095,2,64.394104,future
2095,3,31.678242,future
2095,4,30.978565,future
2095,5,42.623577,future
2095,6,37.923443,future
2095,7,28.160206,future
2095,8,35.388306,future
2095,9,26.302029,future
2095,10,30.496887,future
2095,11,41.36627,future
2095,12,58.647205,future
2096,1,50.266975,future
2096,2,41.027733,future
2096,3,55.752647,future
2096,4,48.938847,future
2096,5,49.777683,future
2096,6,36.558388,future
2096,7,52.512085,future
2096,8,45.052284,future
2096,9,63.784035,future
2096,10,32.176754,future
2096,11,30.61803,future
2096,12,48.81246,future
2097,1,44.66987,future
2097,2,55.042244,future
2097,3,46.403862,future
2097,4,50.201405,future
2097,5,48.045673,future
2097,6,32.958485,future
2097,7,41.88047,future
2097,8,37.74227,future
2097,9,41.87848,future
2097,10,35.418797,future
2097,11,25.415432,future
2097,12,33.717842,future
2098,1,49.083427,future
2098,2,60.582245,future
2098,3,57.38789,future
2098,4,45.989532,future
2098,5,52.637444,future
2098,6,51.475624,future
2098,7,46.336723,future
2098,8,44.319332,future
2098,9,48.548023,future
2098,10,10.994158,future
2098,11,19.983082,future
2098,12,35.30788,future
2099,1,41.786583,future
2099,2,52.771553,future
2099,3,43.79767,future
2099,4,40.153885,future
2099,5,44.303802,future
2099,6,38.877125,future
2099,7,30.617405,future
2099,8,40.422997,future
2099,9,47.61225,future
2099,10,33.312695,future
2099,11,34.36264,future
2099,12,30.768255,future
2100,1,41.219913,future
2100,2,44.685966,future
2100,3,41.021538,future
2100,4,44.10385,future
2100,5,49.976677,future
2100,6,35.277386,future
2100,7,40.104687,future
2100,8,40.589043,future
2100,9,20.179804,future
2100,10,30.071772,future
2100,11,32.137367,future
2100,12,36.16562,future
1850,1,48.816116,historical
1850,2,68.4949,historical
1850,3,60.586323,historical
1850,4,46.999084,historical
1850,5,38.587402,historical
1850,6,50.40719,historical
1850,7,23.033026,historical
1850,8,37.610153,historical
1850,9,15.702225,historical
1850,10,14.362353,historical
1850,11,42.51126,historical
1850,12,41.83154,historical
1851,1,53.5141,historical
1851,2,48.920486,historical
1851,3,50.346745,historical
1851,4,39.070324,historical
1851,5,50.343803,historical
1851,6,31.117268,historical
1851,7,27.240082,historical
1851,8,19.493534,historical
1851,9,15.521939,historical
1851,10,30.407532,historical
1851,11,40.58385,historical
1851,12,60.98292,historical
1852,1,35.397034,historical
1852,2,41.420128,historical
1852,3,53.017517,historical
1852,4,52.245564,historical
1852,5,46.442795,historical
1852,6,37.605377,historical
1852,7,24.77478,historical
1852,8,36.85836,historical
1852,9,38.574974,historical
1852,10,31.831715,historical
1852,11,33.495934,historical
1852,12,40.673042,historical
1853,1,63.95989,historical
1853,2,41.24047,historical
1853,3,55.85691,historical
1853,4,49.43313,historical
1853,5,41.947166,historical
1853,6,38.95627,historical
1853,7,33.354332,historical
1853,8,19.668941,historical
1853,9,32.013733,historical
1853,10,31.964783,historical
1853,11,43.195793,historical
1853,12,56.924786,historical
1854,1,40.37188,historical
1854,2,58.948753,historical
1854,3,51.764942,historical
1854,4,49.905388,historical
1854,5,50.928596,historical
1854,6,26.572027,historical
1854,7,35.487045,historical
1854,8,26.642416,historical
1854,9,13.684911,historical
1854,10,25.381964,historical
1854,11,33.45003,historical
1854,12,47.51319,historical
1855,1,40.720413,historical
1855,2,50.964745,historical
1855,3,55.454918,historical
1855,4,38.963768,historical
1855,5,28.697357,historical
1855,6,30.480396,historical
1855,7,32.284107,historical
1855,8,19.113218,historical
1855,9,28.101324,historical
1855,10,36.242546,historical
